module_name	AUC_set_name	overlap	AUC_set_size	universe	module_size	p	p-none	p-Bonn	p-BH	overlap_IDs
module_.979	set_size_50	0	50	34553	84	0.114506844451113	0.114506844451113	1	0.238750620637341	no_overlap
module_.571	set_size_50	0	50	34553	46	0.0643928610683664	0.0643928610683664	1	0.238750620637341	no_overlap
module_.721	set_size_50	0	50	34553	97	0.131039570149804	0.131039570149804	1	0.238750620637341	no_overlap
module_.619	set_size_50	0	50	34553	79	0.108066359295274	0.108066359295274	1	0.238750620637341	no_overlap
module_.877	set_size_50	0	50	34553	64	0.0884682186310825	0.0884682186310825	1	0.238750620637341	no_overlap
module_.799	set_size_50	2	50	34553	59	8.7166217061709e-05	8.7166217061709e-05	0.00697329736493672	0.00348664868246836	ATP2B4, ATXN1
module_.763	set_size_50	0	50	34553	111	0.148505771443963	0.148505771443963	1	0.238750620637341	no_overlap
module_.559	set_size_50	3	50	34553	35	1.9534500237117e-07	1.9534500237117e-07	1.56276001896936e-05	1.56276001896936e-05	CCL5, NKG7, GZMK
module_.997	set_size_50	1	50	34553	55	0.00289356199978181	0.00289356199978181	0.231484959982545	0.0578712399956362	KLRC3
module_.637	set_size_50	0	50	34553	53	0.0738286542624643	0.0738286542624643	1	0.238750620637341	no_overlap
module_.937	set_size_50	0	50	34553	203	0.255021609282308	0.255021609282308	1	0.264957516137463	no_overlap
module_.781	set_size_50	0	50	34553	127	0.168046076685252	0.168046076685252	1	0.24178949480245	no_overlap
module_.1015	set_size_50	0	50	34553	172	0.220677342742541	0.220677342742541	1	0.252202677420047	no_overlap
module_.745	set_size_50	1	50	34553	105	0.0101614523959484	0.0101614523959484	0.812916191675872	0.116130884525125	CA6
module_.697	set_size_50	0	50	34553	88	0.119626398327443	0.119626398327443	1	0.238750620637341	no_overlap
module_.709	set_size_50	0	50	34553	45	0.0630372230439487	0.0630372230439487	1	0.238750620637341	no_overlap
module_.865	set_size_50	0	50	34553	52	0.0724864158552623	0.0724864158552623	1	0.238750620637341	no_overlap
module_.631	set_size_50	0	50	34553	80	0.109358118130728	0.109358118130728	1	0.238750620637341	no_overlap
module_.805	set_size_50	0	50	34553	79	0.108066359295274	0.108066359295274	1	0.238750620637341	no_overlap
module_.565	set_size_50	0	50	34553	126	0.166837789696384	0.166837789696384	1	0.24178949480245	no_overlap
module_.1009	set_size_50	0	50	34553	66	0.0911054842551697	0.0911054842551697	1	0.238750620637341	no_overlap
module_.643	set_size_50	0	50	34553	51	0.071142271190975	0.071142271190975	1	0.238750620637341	no_overlap
module_.751	set_size_50	0	50	34553	21	0.0299182371531038	0.0299182371531038	1	0.238750620637341	no_overlap
module_.871	set_size_50	0	50	34553	156	0.20234898735749	0.20234898735749	1	0.248076278276783	no_overlap
module_.733	set_size_50	0	50	34553	145	0.189503886393816	0.189503886393816	1	0.247553989051511	no_overlap
module_.823	set_size_50	0	50	34553	168	0.216134325151647	0.216134325151647	1	0.250590521914953	no_overlap
module_.925	set_size_50	0	50	34553	188	0.238592783595859	0.238592783595859	1	0.261471543666695	no_overlap
module_.919	set_size_50	0	50	34553	147	0.191854341514921	0.191854341514921	1	0.247553989051511	no_overlap
module_.973	set_size_50	0	50	34553	119	0.158331494493318	0.158331494493318	1	0.24178949480245	no_overlap
module_.679	set_size_50	0	50	34553	66	0.0911054842551697	0.0911054842551697	1	0.238750620637341	no_overlap
module_.399	set_size_50	0	50	34553	31	0.0438549533575675	0.0438549533575675	1	0.238750620637341	no_overlap
module_.655	set_size_50	0	50	34553	89	0.1209017475983	0.1209017475983	1	0.238750620637341	no_overlap
module_.787	set_size_50	0	50	34553	49	0.0684482524797201	0.0684482524797201	1	0.238750620637341	no_overlap
module_.577	set_size_50	0	50	34553	128	0.169252646361715	0.169252646361715	1	0.24178949480245	no_overlap
module_.775	set_size_50	1	50	34553	87	0.00707814112306491	0.00707814112306491	0.566251289845193	0.0986088332270791	ECT2
module_.889	set_size_50	0	50	34553	84	0.114506844451113	0.114506844451113	1	0.238750620637341	no_overlap
module_.727	set_size_50	1	50	34553	89	0.00739566249203093	0.00739566249203093	0.591652999362474	0.0986088332270791	CDC27
module_.895	set_size_50	0	50	34553	90	0.122175286238275	0.122175286238275	1	0.238750620637341	no_overlap
module_.625	set_size_50	0	50	34553	158	0.204662929578346	0.204662929578346	1	0.248076278276783	no_overlap
module_.601	set_size_50	0	50	34553	88	0.119626398327443	0.119626398327443	1	0.238750620637341	no_overlap
module_.967	set_size_50	0	50	34553	239	0.293046501759509	0.293046501759509	1	0.29675595114887	no_overlap
module_.883	set_size_50	0	50	34553	100	0.134811640247306	0.134811640247306	1	0.238750620637341	no_overlap
module_.583	set_size_50	0	50	34553	108	0.144792218068513	0.144792218068513	1	0.238750620637341	no_overlap
module_.847	set_size_50	0	50	34553	88	0.119626398327443	0.119626398327443	1	0.238750620637341	no_overlap
module_.793	set_size_50	0	50	34553	156	0.20234898735749	0.20234898735749	1	0.248076278276783	no_overlap
module_.661	set_size_50	1	50	34553	114	0.0118887723328715	0.0118887723328715	0.95110178662972	0.118887723328715	ZNF410
module_.739	set_size_50	0	50	34553	143	0.187146732193683	0.187146732193683	1	0.247553989051511	no_overlap
module_.907	set_size_50	0	50	34553	167	0.214994521634447	0.214994521634447	1	0.250590521914953	no_overlap
module_.853	set_size_50	0	50	34553	113	0.150972689530661	0.150972689530661	1	0.238750620637341	no_overlap
module_.961	set_size_50	0	50	34553	66	0.0911054842551697	0.0911054842551697	1	0.238750620637341	no_overlap
module_.649	set_size_50	0	50	34553	81	0.110648043516514	0.110648043516514	1	0.238750620637341	no_overlap
module_.1027	set_size_50	0	50	34553	59	0.0818422013623143	0.0818422013623143	1	0.238750620637341	no_overlap
module_.589	set_size_50	0	50	34553	69	0.0950473678806084	0.0950473678806084	1	0.238750620637341	no_overlap
module_.931	set_size_50	0	50	34553	137	0.180034887839033	0.180034887839033	1	0.247553989051511	no_overlap
module_.595	set_size_50	0	50	34553	184	0.234152132142852	0.234152132142852	1	0.26016903571428	no_overlap
module_.1003	set_size_50	0	50	34553	146	0.190679950172338	0.190679950172338	1	0.247553989051511	no_overlap
module_.703	set_size_50	0	50	34553	259	0.313342640773302	0.313342640773302	1	0.313342640773302	no_overlap
module_.757	set_size_50	0	50	34553	199	0.250674872117329	0.250674872117329	1	0.264957516137463	no_overlap
module_.829	set_size_50	1	50	34553	46	0.00203351194518409	0.00203351194518409	0.162680955614727	0.0542269852049091	SH2D1A
module_.955	set_size_50	0	50	34553	108	0.144792218068513	0.144792218068513	1	0.238750620637341	no_overlap
module_.667	set_size_50	0	50	34553	48	0.0670983731180045	0.0670983731180045	1	0.238750620637341	no_overlap
module_.859	set_size_50	0	50	34553	108	0.144792218068513	0.144792218068513	1	0.238750620637341	no_overlap
module_.817	set_size_50	0	50	34553	132	0.174061799715388	0.174061799715388	1	0.244297262758439	no_overlap
module_.991	set_size_50	0	50	34553	165	0.212710039819609	0.212710039819609	1	0.250590521914953	no_overlap
module_.943	set_size_50	0	50	34553	192	0.243008198652985	0.243008198652985	1	0.262711566111335	no_overlap
module_.613	set_size_50	0	50	34553	108	0.144792218068513	0.144792218068513	1	0.238750620637341	no_overlap
module_.769	set_size_50	0	50	34553	107	0.143550843479401	0.143550843479401	1	0.238750620637341	no_overlap
module_.715	set_size_50	0	50	34553	128	0.169252646361715	0.169252646361715	1	0.24178949480245	no_overlap
module_.949	set_size_50	0	50	34553	54	0.0751689890609268	0.0751689890609268	1	0.238750620637341	no_overlap
module_.673	set_size_50	0	50	34553	67	0.0924213115067335	0.0924213115067335	1	0.238750620637341	no_overlap
module_.913	set_size_50	0	50	34553	113	0.150972689530661	0.150972689530661	1	0.238750620637341	no_overlap
module_.691	set_size_50	0	50	34553	182	0.231922298648402	0.231922298648402	1	0.26016903571428	no_overlap
module_.811	set_size_50	0	50	34553	155	0.201189543476099	0.201189543476099	1	0.248076278276783	no_overlap
